Subject info,Project,Project 1,,,,,
,First Name,,,,,,
,Last Name,Kehlin trial,,,,,
,Sex,Male,,,,,
,Date of birth,,,,,,
,,,,,,,
Record info,Name,Homer Technique,,,,,
,Date Measured,6/15/2018 10:51,,,,,
,Number of periods,1,,,,,
,,,,,,,
Analyzed Signal,"Time, s",,"TIB.ANT. RT, uV","PERONEUS RT, uV","LAT. GASTRO RT, uV","MED. GASTRO RT, uV","Homer Technique, phases"
,119.64,,-4.30318,-4.17742,3.19945,3.98006,1
,119.6407,,-1.2399,-1.41875,3.19945,-36.6023,1
,119.6413,,-2.77154,2.52221,-1.06648,-54.0151,1
,119.642,,-7.07472,-2.36458,-5.65437,-29.8504,1
,119.6427,,-5.25134,-5.67498,-5.03058,4.904,1
,119.6433,,-2.4798,-2.60103,5.03058,17.7681,1
,119.644,,-2.4798,-7.25137,18.4522,31.7694,1
,119.6447,,0.291741,-13.0052,13.8844,39.3741,1
,119.6453,,0.875223,0.0788192,-7.4855,16.8442,1
,119.646,,-2.77154,15.685,-15.1119,18.3367,1
,119.6467,,-1.53164,11.9805,-5.9562,23.525,1
,119.6473,,1.82338,4.72915,-0.462813,-64.3916,1
,119.648,,-1.89632,3.78332,-1.06648,-130.56,1
,119.6487,,-6.12656,1.02465,0.140856,-24.3779,1
,119.6493,,-4.30318,-0.788192,-4.42691,86.7084,1
,119.65,,-2.4798,1.97048,-11.1478,41.5063,1
,119.6507,,-2.4798,-1.41875,-1.36832,-23.1696,1
,119.6513,,-2.18806,-7.8031,13.2807,-16.1334,1
,119.652,,-0.948158,-4.49269,8.08917,-18.9053,1
,119.6527,,1.82338,4.41388,-2.29394,-42.9988,1
,119.6533,,4.81373,7.40901,-0.462813,-41.4352,1
,119.654,,5.47014,4.41388,-1.06648,-23.4539,1
,119.6547,,3.35502,2.28576,-1.06648,-8.81298,1
,119.6553,,0.875223,1.33993,12.9588,-7.60475,1
,119.656,,0.291741,-0.472915,14.4881,-17.0574,1
,119.6567,,1.16696,-1.73402,-5.03058,-14.2856,1
,119.6573,,0.875223,-1.73402,-10.524,-3.34041,1
,119.658,,-2.4798,-2.60103,-0.764648,0.0710725,1
,119.6587,,-4.01144,-4.49269,-0.764648,2.20325,1
,119.6593,,-1.2399,-2.36458,0.764648,-1.20823,1
,119.66,,1.4587,1.97048,8.08917,-15.2095,1
,119.6607,,1.16696,2.52221,1.36832,-12.793,1
,119.6613,,1.16696,1.02465,-11.4496,9.808,1
,119.662,,3.64676,0.709373,-9.61846,15.9202,1
,119.6627,,4.81373,0.394096,-4.12507,-0.56858,1
,119.6633,,5.47014,-1.10347,-5.03058,-12.5088,1
,119.664,,5.76188,-1.73402,-5.03058,-10.6609,1
,119.6647,,3.9385,-0.472915,-0.764648,-5.75687,1
,119.6653,,1.16696,-0.788192,-1.69027,-2.98504,1
,119.666,,0.583482,-1.73402,-5.9562,0.639652,1
,119.6667,,1.16696,-3.86214,-3.19945,4.904,1
,119.6673,,2.11512,-9.93122,5.9562,5.25936,1
,119.668,,4.81373,-11.8229,8.08917,1.56359,1
,119.6687,,5.47014,-2.36458,4.42691,1.84788,1
,119.6693,,0.583482,8.03956,3.19945,5.82794,1
,119.67,,-3.06328,10.1677,-1.69027,8.59977,1
,119.6707,,-1.2399,8.67011,-10.8459,7.67582,1
,119.6713,,0.875223,5.59616,-12.3551,3.05612,1
,119.672,,0.875223,1.97048,-3.82324,0.355362,1
,119.6727,,1.16696,0.394096,2.89761,0.639652,1
,119.6733,,0.291741,2.52221,2.29394,0.355362,1
,119.674,,-3.06328,2.83749,-0.462813,4.904,1
,119.6747,,-0.948158,1.97048,-3.82324,10.4476,1
,119.6753,,2.40686,-1.73402,-6.55987,6.11223,1
,119.676,,0,-5.35971,-6.55987,5.82794,1
,119.6767,,-3.42796,-2.36458,-3.19945,13.7881,1
,119.6773,,-1.89632,1.6552,0.140856,17.7681,1
,119.678,,-0.364676,-0.788192,2.89761,28.429,1
,119.6787,,0.291741,1.97048,7.78733,35.4652,1
,119.6793,,2.11512,8.03956,12.3551,28.9976,1
,119.68,,3.35502,0.709373,12.9588,49.4664,1
,119.6807,,3.35502,-9.06421,11.4496,72.9914,1
,119.6813,,1.4587,-0.472915,10.524,38.8056,1
,119.682,,-2.4798,6.85727,4.12507,3.05612,1
,119.6827,,-5.25134,0.394096,-9.61846,7.96011,1
,119.6833,,-5.83482,-1.10347,-21.8327,-1.49252,1
,119.684,,-7.07472,2.52221,-32.8195,-16.1334,1
,119.6847,,-5.54308,-0.788192,-36.4817,-15.8492,1
,119.6853,,0.291741,-0.157638,-12.0533,-45.4153,1
,119.686,,3.9385,6.54199,29.1371,-63.1123,1
,119.6867,,2.11512,4.0986,43.1825,-30.7744,1
,119.6873,,-0.364676,-5.35971,31.5719,-15.2095,1
,119.688,,0.291741,-9.93122,28.8353,-19.4739,1
,119.6887,,2.11512,-10.5618,27.9096,-17.9813,1
,119.6893,,1.4587,-11.1923,13.8844,-46.3392,1
,119.69,,-3.42796,-11.5076,-6.55987,-56.4315,1
,119.6907,,-4.01144,-13.6357,-37.0854,7.67582,1
,119.6913,,2.40686,-13.951,-61.1919,41.8617,1
,119.692,,4.81373,-4.17742,-44.4099,-14.2856,1
,119.6927,,2.11512,5.59616,-17.8485,-73.2046,1
,119.6933,,1.16696,5.59616,-25.173,-80.2408,1
,119.694,,1.16696,2.83749,-30.3646,-54.8679,1
,119.6947,,0,3.15277,-8.69284,-6.68081,1
,119.6953,,0.583482,4.41388,0.140856,44.5624,1
,119.696,,2.11512,4.41388,-9.01479,49.4664,1
,119.6967,,0,-5.67498,-5.03058,-1.49252,1
,119.6973,,-2.18806,-17.5767,7.78733,-34.7544,1
,119.698,,-1.89632,-11.8229,13.2807,3.41148,1
,119.6987,,-1.53164,-5.04443,16.0174,57.4265,1
,119.6993,,-1.2399,-12.3746,12.0533,63.5388,1
,119.7,,0.291741,-4.80797,2.29394,26.2968,1
,119.7007,,1.4587,17.8131,1.67015,-26.51,1
,119.7013,,1.16696,18.759,9.29651,-61.6198,1
,119.702,,-0.656417,4.41388,8.69284,-50.3193,1
,119.7027,,0.875223,1.02465,1.67015,-9.73693,1
,119.7033,,5.47014,1.97048,1.06648,22.601,1
,119.704,,7.58527,0.709373,4.42691,28.429,1
,119.7047,,4.81373,-1.10347,3.80312,17.1285,1
,119.7053,,1.16696,-3.54686,1.97199,11.3005,1
,119.706,,-0.948158,1.6552,0.764648,-10.0212,1
,119.7067,,-0.656417,9.30067,-3.19945,-64.9602,1
